성별,만나이(세),만나이(개월),L,M,S,신장(cm) 백분위수,,,,,,,,,,,,,신장(cm) 표준점수,,,,,,
,,,,,,1st,3rd,5th,10th,15th,25th,50th,75th,85th,90th,95th,97th,99th,-3SD,-2SD,-1SD,0.0 ,+1SD,+2SD,+3SD
1,0,0,1.0000 ,49.8842 ,0.0380 ,45.5 ,46.3 ,46.8 ,47.5 ,47.9 ,48.6 ,49.9 ,51.2 ,51.8 ,52.3 ,53.0 ,53.4 ,54.3 ,44.2 ,46.1 ,48.0 ,49.9 ,51.8 ,53.7 ,55.6 
1,,1,1.0000 ,54.7244 ,0.0356 ,50.2 ,51.1 ,51.5 ,52.2 ,52.7 ,53.4 ,54.7 ,56.0 ,56.7 ,57.2 ,57.9 ,58.4 ,59.3 ,48.9 ,50.8 ,52.8 ,54.7 ,56.7 ,58.6 ,60.6 
1,,2,1.0000 ,58.4249 ,0.0342 ,53.8 ,54.7 ,55.1 ,55.9 ,56.4 ,57.1 ,58.4 ,59.8 ,60.5 ,61.0 ,61.7 ,62.2 ,63.1 ,52.4 ,54.4 ,56.4 ,58.4 ,60.4 ,62.4 ,64.4 
1,,3,1.0000 ,61.4292 ,0.0333 ,56.7 ,57.6 ,58.1 ,58.8 ,59.3 ,60.1 ,61.4 ,62.8 ,63.5 ,64.0 ,64.8 ,65.3 ,66.2 ,55.3 ,57.3 ,59.4 ,61.4 ,63.5 ,65.5 ,67.6 
1,,4,1.0000 ,63.8860 ,0.0326 ,59.0 ,60.0 ,60.5 ,61.2 ,61.7 ,62.5 ,63.9 ,65.3 ,66.0 ,66.6 ,67.3 ,67.8 ,68.7 ,57.6 ,59.7 ,61.8 ,63.9 ,66.0 ,68.0 ,70.1 
1,,5,1.0000 ,65.9026 ,0.0320 ,61.0 ,61.9 ,62.4 ,63.2 ,63.7 ,64.5 ,65.9 ,67.3 ,68.1 ,68.6 ,69.4 ,69.9 ,70.8 ,59.6 ,61.7 ,63.8 ,65.9 ,68.0 ,70.1 ,72.2 
1,,6,1.0000 ,67.6236 ,0.0317 ,62.6 ,63.6 ,64.1 ,64.9 ,65.4 ,66.2 ,67.6 ,69.1 ,69.8 ,70.4 ,71.1 ,71.6 ,72.6 ,61.2 ,63.3 ,65.5 ,67.6 ,69.8 ,71.9 ,74.0 
1,,7,1.0000 ,69.1645 ,0.0314 ,64.1 ,65.1 ,65.6 ,66.4 ,66.9 ,67.7 ,69.2 ,70.6 ,71.4 ,71.9 ,72.7 ,73.2 ,74.2 ,62.7 ,64.8 ,67.0 ,69.2 ,71.3 ,73.5 ,75.7 
1,,8,1.0000 ,70.5994 ,0.0312 ,65.5 ,66.5 ,67.0 ,67.8 ,68.3 ,69.1 ,70.6 ,72.1 ,72.9 ,73.4 ,74.2 ,74.7 ,75.7 ,64.0 ,66.2 ,68.4 ,70.6 ,72.8 ,75.0 ,77.2 
1,,9,1.0000 ,71.9687 ,0.0312 ,66.8 ,67.7 ,68.3 ,69.1 ,69.6 ,70.5 ,72.0 ,73.5 ,74.3 ,74.8 ,75.7 ,76.2 ,77.2 ,65.2 ,67.5 ,69.7 ,72.0 ,74.2 ,76.5 ,78.7 
